  System , Experimental ,  , SMIRNOFF99Frosst ,  , GAFF v1.7 ,  , GAFF v2.1 ,  
 --- , --- , --- , --- , --- , --- , --- , --- , --- 
   , Mean , SEM , Mean , SEM , Mean , SEM , Mean , SEM 
  a-bam ,0.59,0.05,-2.82,0.53,0.02,0.63,0.11,0.45
  a-but ,1.02,0.13,-0.73,0.65,-0.01,0.42,1.77,0.47
  a-cbu ,0.73,0.05,0.75,0.28,-0.17,0.54,1.21,0.36
  a-chp ,0.48,0.24,1.04,0.48,0.63,0.37,1.16,0.41
  a-coc ,-2.3,1.18,2.02,0.53,1.07,0.4,2.82,0.4
  a-cpe ,0.61,0.03,0.33,0.39,-0.44,0.51,1.07,0.37
  a-ham ,0.66,0.02,0.59,0.44,-0.68,0.36,0.92,0.34
  a-hep ,0.2,0.09,0.77,0.39,0.12,0.41,2.45,0.29
  a-hex ,0.02,0.02,1.62,0.37,0.03,0.36,2.17,0.37
  a-hp6 ,0.88,0.02,1.54,0.38,0.37,0.27,2.84,0.36
  a-hpa ,0.52,0.02,1.45,0.48,-0.5,0.37,1.35,0.34
  a-hx2 ,0.78,0.06,1.49,0.37,-0.25,0.37,1.77,0.35
  a-hx3 ,0.35,0.05,-0.13,0.61,1.23,0.4,1.58,0.36
  a-mba ,0.92,0.07,-0.27,0.51,-0.57,0.44,-0.06,0.43
  a-mha ,0.68,0.02,-0.29,0.58,-0.73,0.3,0.85,0.4
  a-mhp ,0.57,0.02,0.92,0.37,-0.41,0.3,1.89,0.35
  a-nmb ,0.88,0.06,-0.85,0.5,-0.86,0.29,0.61,0.35
  a-nmh ,0.68,0.08,0.05,0.76,-0.38,0.3,1.18,0.36
  a-oam ,0.85,0.03,0.25,0.57,-0.6,0.37,1.02,0.34
  a-oct ,0.27,0.04,1.44,0.37,-0.16,0.38,2.72,0.36
  a-pam ,0.56,0.02,-0.94,0.98,-0.68,0.34,0.45,0.4
  a-pnt ,0.15,0.01,-0.51,0.43,-0.12,0.38,1.84,0.36
  b-ben ,0.87,0.08,-2.4,0.83,-1.07,0.87,-1.15,0.31
  b-cbu ,-2.43,0.24,-1.93,0.85,-1.45,0.58,-3.64,0.34
  b-chp ,-1.6,0.01,-3.96,0.47,-4.61,0.69,-1.87,0.39
  b-coc ,-1.05,0.07,-4.08,0.53,-3.81,1.02,-1.56,0.49
  b-cpe ,-1.96,0.01,-5.43,0.51,-7.17,0.72,-4.6,0.4
  b-ham ,-3.09,0.09,-4.19,0.71,-4.29,0.82,-4.56,0.38
  b-hep ,-3.81,0.18,-3.36,0.47,-5.25,0.45,-3.23,0.35
  b-hex ,-3.59,0.05,-3.34,0.7,-3.77,0.66,-3.38,0.32
  b-m4c ,-2.05,0.01,-5.07,0.54,-5.29,0.62,-2.51,0.37
  b-m4t ,-2.37,0.02,-5.08,0.49,-5.99,0.57,-3.22,0.33
  b-mch ,-1.89,0.03,-2.9,1.1,-5.58,0.78,-2.7,0.38
  b-mha ,-3.03,0.08,-4,0.6,-4.62,0.69,-4.94,0.34
  b-mo3 ,0.77,0.03,-0.2,0.6,-2.14,0.61,-0.29,0.34
  b-mo4 ,-0.55,0.01,-1.5,0.71,-2.19,0.46,-0.45,0.36
  b-mp3 ,1.29,0.14,-1.94,0.74,-3.16,0.56,-0.35,0.37
  b-mp4 ,0.7,0.05,-0.19,0.83,-3.55,0.69,-0.72,0.35
  b-oam ,-3.11,0.12,-4.33,0.5,-5.26,0.53,-4.73,0.41
  b-pb3 ,-1.27,0.01,-1.9,0.99,-4.64,0.47,-2.34,0.34
  b-pb4 ,-0.78,0.02,-3.6,0.71,-1.9,0.85,-1.01,0.37
  b-pha ,0.09,0.12,-2.14,0.76,-1.21,1.01,-0.52,0.41
  b-pnt ,-3.16,0.62,-1.43,1.04,-1.22,0.89,-2.4,0.35